"Length1","Length2","Length3","Length4","Length5","Length6","Length7","Length8","Length9","Length10","Length11","Length12","Length13","Length14","Length15"
1,0.982456140350877,0.593023255813954,0.0927835051546392,0.00483091787439614,0,0,0,0,0,0,0,0,0,0
0,0.0175438596491228,0.406976744186047,0.855670103092783,0.647342995169082,0.0850622406639004,0.00350877192982456,0,0,0,0,0,0,0,0
0,0,0,0.0515463917525773,0.328502415458937,0.522821576763486,0.0631578947368421,0.018018018018018,0,0,0,0,0,0,0
0,0,0,0,0.00966183574879227,0.236514522821577,0.352631578947368,0.103603603603604,0.00746268656716418,0,0,0,0,0,0
0,0,0,0,0.00966183574879227,0.116182572614108,0.335087719298246,0.207207207207207,0.0597014925373134,0,0,0,0,0,0
0,0,0,0,0,0.0352697095435685,0.210526315789474,0.279279279279279,0.111940298507463,0.1,0.159090909090909,0.0434782608695652,0,0,0
0,0,0,0,0,0.004149377593361,0.0245614035087719,0.108108108108108,0.186567164179104,0.114285714285714,0.113636363636364,0.130434782608696,0.1,0.166666666666667,0
0,0,0,0,0,0,0.00701754385964912,0.112612612612613,0.164179104477612,0.142857142857143,0.113636363636364,0.0869565217391304,0.3,0,0
0,0,0,0,0,0,0.00350877192982456,0.0495495495495495,0.0671641791044776,0.0857142857142857,0.0681818181818182,0.173913043478261,0.1,0.166666666666667,0
0,0,0,0,0,0,0,0.045045045045045,0.119402985074627,0.114285714285714,0.159090909090909,0.260869565217391,0.4,0.333333333333333,0
0,0,0,0,0,0,0,0.0225225225225225,0.0597014925373134,0.1,0.0454545454545455,0.0434782608695652,0,0.333333333333333,0.5
0,0,0,0,0,0,0,0.018018018018018,0.0298507462686567,0.142857142857143,0.0454545454545455,0,0,0,0.5
0,0,0,0,0,0,0,0.018018018018018,0.082089552238806,0.0285714285714286,0.136363636363636,0.0869565217391304,0,0,0
0,0,0,0,0,0,0,0.0045045045045045,0.0671641791044776,0.114285714285714,0.0909090909090909,0,0.1,0,0
0,0,0,0,0,0,0,0.0135135135135135,0.0447761194029851,0.0571428571428571,0.0681818181818182,0.173913043478261,0,0,0
