"","year","catch"
"1","1981",838.47957
"2","1982",1022.80226
"3","1983",1050.79616
"4","1984",2720.67561
"5","1985",3894.02109
"6","1986",3431.94361
"7","1987",4795.3037
"8","1988",6867.42477
"9","1989",7413.59444
"10","1990",9632.37371
"11","1991",23969.99582
"12","1992",56127.24911
"13","1993",42107.86198
"14","1994",73616.26769
"15","1995",74961.94926
"16","1996",85127.75261
"17","1997",87416.09891
"18","1998",87856.11345
"19","1999",83470.29057
"20","2000",85853.81566
"21","2001",73411.64448
"22","2002",45707.66036
"23","2003",55334.9997
"24","2004",96503.40741
"25","2005",109052.2377
"26","2006",127165.049215161
"27","2007",165006.860778767
"28","2008",503736.077944645
"29","2009",251033.485610031
"30","2010",334373.010215804
"31","2011",415406.61864588
"32","2012",300979.573586597
"33","2013",416247.498331141
"34","2014",464564.272270795
"35","2015",289993.25377987
"36","2016",505891.635567924
"37","2017",644337.7228726
"38","2018",596912.810913092
"39","2019",580365.664799693
"40","2020",528394.446413268
