"","X","year","nation","source","total_catch"
"1",1,1981,"US","shoreside",838.47957
"2",2,1982,"US","shoreside",1022.80226
"3",3,1983,"US","shoreside",1050.79616
"4",4,1984,"US","shoreside",2720.67561
"5",5,1985,"US","shoreside",3894.02109
"6",6,1986,"US","shoreside",3431.94361
"7",7,1987,"US","shoreside",4795.3037
"8",8,1988,"US","shoreside",6867.42477
"9",9,1989,"US","shoreside",7413.59444
"10",10,1990,"US","shoreside",9632.37371
"11",11,1991,"US","shoreside",23969.99582
"12",12,1992,"US","shoreside",56127.24911
"13",13,1993,"US","shoreside",42107.86198
"14",14,1994,"US","shoreside",73616.26769
"15",15,1995,"US","shoreside",74961.94926
"16",16,1996,"US","shoreside",85127.75261
"17",17,1997,"US","shoreside",87416.09891
"18",18,1998,"US","shoreside",87856.11345
"19",19,1999,"US","shoreside",83470.29057
"20",20,2000,"US","shoreside",85853.81566
"21",21,2001,"US","shoreside",73411.64448
"22",22,2002,"US","shoreside",45707.66036
"23",23,2003,"US","shoreside",55334.9997
"24",24,2004,"US","shoreside",96503.40741
"25",25,2005,"US","shoreside",109052.2377
"26",26,2006,"US","research",0.049895161
"27",27,2006,"US","shoreside",127164.99932
"28",28,2007,"Canada","freezer-trawler",14121.5284423436
"29",29,2007,"Canada","JV",6820.3904130664
"30",30,2007,"Canada","shoreside",52623.7232274332
"31",31,2007,"US","research",0.004535924
"32",32,2007,"US","shoreside",91441.21416
"33",33,2008,"Canada","freezer-trawler",13214.357703708
"34",34,2008,"Canada","JV",3592.28171085
"35",35,2008,"Canada","shoreside",57798.7199100868
"36",36,2008,"US","catcher-processor",108195.14488
"37",37,2008,"US","mothership",72439.75282
"38",38,2008,"US","shoreside",67860.9232
"39",39,2009,"Canada","freezer-trawler",13223.1932300676
"40",40,2009,"Canada","JV",0
"41",41,2009,"Canada","shoreside",44136.0228599632
"42",42,2009,"US","catcher-processor",34551.92087
"43",43,2009,"US","mothership",37549.81829
"44",44,2009,"US","shoreside",49222.32983
"45",45,2010,"Canada","freezer-trawler",13572.711575442
"46",46,2010,"Canada","JV",8081.4503134428
"47",47,2010,"Canada","shoreside",35362.0802869188
"48",48,2010,"US","catcher-processor",54284.43867
"49",49,2010,"US","mothership",52022.30018
"50",50,2010,"US","shoreside",64736.30978
"51",51,2011,"Canada","freezer-trawler",14595.8182635556
"52",52,2011,"Canada","JV",9716.611452904
"53",53,2011,"Canada","shoreside",31760.34707123
"54",54,2011,"US","catcher-processor",71678.21579
"55",55,2011,"US","mothership",56394.48868
"56",56,2011,"US","research",1042.31625819
"57",57,2011,"US","shoreside",102146.11667
"58",58,2012,"Canada","freezer-trawler",14912.1545105004
"59",59,2012,"Canada","JV",0
"60",60,2012,"Canada","shoreside",32147.0758691384
"61",61,2012,"US","catcher-processor",55263.84185
"62",62,2012,"US","mothership",38512.35631
"63",63,2012,"US","research",448.474941258
"64",64,2012,"US","shoreside",65919.47195
"65",65,2013,"Canada","freezer-trawler",18583.7178225768
"66",66,2013,"Canada","JV",0
"67",67,2013,"Canada","shoreside",33665.364844408
"68",68,2013,"US","catcher-processor",77949.5153
"69",69,2013,"US","mothership",52470.43192
"70",70,2013,"US","research",1017.966966156
"71",71,2013,"US","shoreside",102140.55427
"72",72,2014,"Canada","freezer-trawler",21792.0399171204
"73",73,2014,"Canada","JV",0
"74",74,2014,"Canada","shoreside",13326.1800237104
"75",75,2014,"US","catcher-processor",103203.2669
"76",76,2014,"US","mothership",62101.51461
"77",77,2014,"US","research",196.715299964
"78",78,2014,"US","shoreside",98639.77399
"79",79,2015,"Canada","freezer-trawler",22908.9776362828
"80",80,2015,"Canada","JV",0
"81",81,2015,"Canada","shoreside",16774.9936335872
"82",82,2015,"US","catcher-processor",68484.34239
"83",83,2015,"US","mothership",27665.02152
"84",84,2015,"US","shoreside",58010.55469
"85",85,2016,"Canada","freezer-trawler",34731.0547870336
"86",86,2016,"Canada","JV",0
"87",87,2016,"Canada","shoreside",35011.7967311656
"88",88,2016,"US","catcher-processor",108785.80921
"89",89,2016,"US","mothership",65035.86718
"90",90,2016,"US","research",745.015035725
"91",91,2016,"US","shoreside",87760.41622
"92",92,2017,"Canada","freezer-trawler",37686.07818483
"93",93,2017,"Canada","JV",5607.515633342
"94",94,2017,"Canada","shoreside",43427.149564428
"95",95,2017,"US","catcher-processor",136960.01682
"96",96,2017,"US","mothership",66427.8826
"97",97,2017,"US","shoreside",150841.18067
"98",98,2018,"Canada","freezer-trawler",41941.985988538
"99",99,2018,"Canada","JV",2723.713499824
"100",100,2018,"Canada","shoreside",50747.1574911376
"101",101,2018,"US","catcher-processor",116072.9859
"102",102,2018,"US","mothership",67121.1703
"103",103,2018,"US","research",0.000453592
"104",104,2018,"US","shoreside",135111.64108
"105",105,2019,"Canada","freezer-trawler",43950.13252978
"106",106,2019,"Canada","shoreside",50621.2034999132
"107",107,2019,"US","catcher-processor",116146.17543
"108",108,2019,"US","mothership",52645.80261
"109",109,2019,"US","shoreside",148210.37268
"110",110,2020,"Canada","freezer-trawler",39811.7781860484
"111",111,2020,"Canada","shoreside",51550.6079772196
"112",112,2020,"US","catcher-processor",111146.716
"113",113,2020,"US","mothership",37977.54088
"114",114,2020,"US","shoreside",138783.54649
